game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
523,523,22,15,16,33,3,5,73,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
524,524,40,30,23,35,0,6,80,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
525,525,24,33,24,21,1,4,59,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
526,526,21,22,37,18,2,4,58,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
527,527,23,23,24,33,3,4,63,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
528,528,38,25,20,18,0,4,54,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
529,529,20,24,17,24,tie,4,59,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
530,530,30,32,29,30,1,7,102,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
531,531,16,16,20,42,3,4,58,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
532,532,26,16,22,21,0,4,60,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
533,533,32,29,24,23,0,4,63,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
534,534,16,23,31,21,2,7,110,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
535,535,29,32,28,33,3,5,94,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
536,536,32,25,22,23,0,4,62,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
537,537,22,27,23,25,1,5,80,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
538,538,24,23,34,30,2,5,73,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
539,539,16,14,12,13,0,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
540,540,44,22,15,20,0,4,68,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
541,541,20,30,13,20,1,5,84,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
542,542,32,23,46,28,2,6,85,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
543,543,18,13,21,28,3,4,63,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
544,544,36,12,13,16,0,4,63,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
545,545,26,40,21,29,1,5,72,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
546,546,29,25,44,28,2,5,76,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
547,547,18,21,17,26,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
548,548,29,20,25,22,0,4,63,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
549,549,23,39,22,18,1,4,71,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
550,550,24,30,54,24,2,5,71,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
551,551,31,18,24,28,0,5,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
552,552,32,17,20,18,0,3,42,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
553,553,30,39,21,22,1,5,75,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
554,554,19,21,36,18,2,4,61,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
555,555,29,24,19,39,3,5,78,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
556,556,22,16,17,17,0,3,46,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
557,557,14,37,12,20,1,4,63,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
558,558,27,20,29,24,2,4,61,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
559,559,24,17,25,32,3,4,56,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
560,560,31,16,14,15,0,3,46,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
561,561,25,45,25,25,1,5,71,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
562,562,20,15,32,14,2,4,50,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
