game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
334,334,25,32,47,24,2,5,80,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
335,335,23,25,30,26,2,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
336,336,37,22,21,15,0,5,64,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
337,337,17,38,19,14,1,4,57,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
338,338,30,29,46,30,2,5,73,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
339,339,15,18,13,25,3,3,46,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
340,340,44,27,32,25,0,7,112,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
341,341,19,30,17,15,1,5,68,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
342,342,21,28,41,28,2,5,64,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
343,343,19,20,21,38,3,4,62,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
344,344,36,26,14,17,0,4,78,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
345,345,19,42,18,21,1,4,63,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
346,346,16,19,30,19,2,3,42,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
347,347,22,15,16,30,3,3,45,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
348,348,11,14,14,19,3,4,56,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
349,349,28,41,21,33,1,6,80,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
350,350,20,23,18,17,1,4,63,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
351,351,19,18,24,20,2,4,52,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
352,352,33,29,26,23,0,5,82,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
353,353,17,37,19,14,1,4,60,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
354,354,20,21,29,18,2,4,56,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
355,355,22,23,20,40,3,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
356,356,58,29,21,19,0,6,83,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
357,357,25,28,20,22,1,5,69,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
358,358,21,24,30,21,2,4,62,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
359,359,24,28,24,38,3,5,71,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
360,360,41,20,13,19,0,4,58,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
361,361,21,25,14,20,1,4,53,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
362,362,24,24,32,16,2,4,52,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
363,363,22,16,18,30,3,4,64,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
364,364,40,23,17,19,0,4,62,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
365,365,29,23,26,20,0,4,60,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
366,366,22,19,22,21,tie,4,64,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
367,367,25,23,22,33,3,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
368,368,33,26,28,28,0,5,70,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
369,369,17,32,18,14,1,4,51,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
370,370,25,18,34,15,2,4,53,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
371,371,21,20,17,22,3,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
372,372,29,21,16,19,0,3,39,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
373,373,17,25,27,21,2,4,56,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
374,374,17,12,26,12,2,3,41,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
