game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
529,529,57,42,0,5,76,HeuristicAgent,BoundedGreedyAgent,1
530,530,79,55,0,6,79,BoundedGreedyAgent,HeuristicAgent,0
531,531,37,59,1,5,64,HeuristicAgent,BoundedGreedyAgent,1
532,532,66,42,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
533,533,43,57,1,4,49,HeuristicAgent,BoundedGreedyAgent,1
534,534,59,25,0,5,66,BoundedGreedyAgent,HeuristicAgent,0
535,535,66,66,tie,6,83,HeuristicAgent,BoundedGreedyAgent,1
536,536,47,41,0,4,53,BoundedGreedyAgent,HeuristicAgent,0
537,537,60,65,1,6,90,HeuristicAgent,BoundedGreedyAgent,1
538,538,74,67,0,6,79,BoundedGreedyAgent,HeuristicAgent,0
539,539,36,59,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
540,540,59,49,0,5,70,BoundedGreedyAgent,HeuristicAgent,0
541,541,22,56,1,5,71,HeuristicAgent,BoundedGreedyAgent,1
542,542,74,62,0,6,71,BoundedGreedyAgent,HeuristicAgent,0
543,543,35,43,1,4,55,HeuristicAgent,BoundedGreedyAgent,1
544,544,69,50,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
545,545,43,68,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
546,546,59,38,0,6,81,BoundedGreedyAgent,HeuristicAgent,0
547,547,38,53,1,4,49,HeuristicAgent,BoundedGreedyAgent,1
548,548,54,31,0,4,58,BoundedGreedyAgent,HeuristicAgent,0
549,549,74,77,1,8,118,HeuristicAgent,BoundedGreedyAgent,1
550,550,55,46,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
551,551,47,44,0,5,60,HeuristicAgent,BoundedGreedyAgent,1
552,552,78,52,0,6,65,BoundedGreedyAgent,HeuristicAgent,0
553,553,39,71,1,5,61,HeuristicAgent,BoundedGreedyAgent,1
554,554,57,55,0,5,68,BoundedGreedyAgent,HeuristicAgent,0
555,555,56,64,1,5,70,HeuristicAgent,BoundedGreedyAgent,1
556,556,60,30,0,4,56,BoundedGreedyAgent,HeuristicAgent,0
557,557,29,44,1,4,52,HeuristicAgent,BoundedGreedyAgent,1
558,558,61,50,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
559,559,45,45,tie,4,53,HeuristicAgent,BoundedGreedyAgent,1
560,560,59,32,0,4,47,BoundedGreedyAgent,HeuristicAgent,0
561,561,38,62,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
562,562,51,32,0,4,56,BoundedGreedyAgent,HeuristicAgent,0
563,563,42,60,1,5,70,HeuristicAgent,BoundedGreedyAgent,1
564,564,41,46,1,5,62,BoundedGreedyAgent,HeuristicAgent,0
565,565,38,45,1,5,53,HeuristicAgent,BoundedGreedyAgent,1
566,566,70,49,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
567,567,52,60,1,6,78,HeuristicAgent,BoundedGreedyAgent,1
568,568,48,36,0,4,57,BoundedGreedyAgent,HeuristicAgent,0
569,569,31,56,1,4,63,HeuristicAgent,BoundedGreedyAgent,1
570,570,68,50,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
571,571,45,64,1,5,62,HeuristicAgent,BoundedGreedyAgent,1
572,572,69,49,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
573,573,40,53,1,4,47,HeuristicAgent,BoundedGreedyAgent,1
574,574,80,31,0,6,76,BoundedGreedyAgent,HeuristicAgent,0
575,575,60,57,0,5,69,HeuristicAgent,BoundedGreedyAgent,1
576,576,61,50,0,5,69,BoundedGreedyAgent,HeuristicAgent,0
577,577,31,58,1,4,50,HeuristicAgent,BoundedGreedyAgent,1
578,578,62,45,0,5,64,BoundedGreedyAgent,HeuristicAgent,0
579,579,44,72,1,5,71,HeuristicAgent,BoundedGreedyAgent,1
580,580,73,36,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
581,581,48,65,1,5,58,HeuristicAgent,BoundedGreedyAgent,1
582,582,90,54,0,7,107,BoundedGreedyAgent,HeuristicAgent,0
583,583,43,74,1,5,78,HeuristicAgent,BoundedGreedyAgent,1
584,584,33,36,1,3,46,BoundedGreedyAgent,HeuristicAgent,0
585,585,34,62,1,5,69,HeuristicAgent,BoundedGreedyAgent,1
586,586,59,61,1,6,75,BoundedGreedyAgent,HeuristicAgent,0
587,587,35,42,1,3,40,HeuristicAgent,BoundedGreedyAgent,1
588,588,51,55,1,6,75,BoundedGreedyAgent,HeuristicAgent,0
589,589,43,49,1,4,54,HeuristicAgent,BoundedGreedyAgent,1
590,590,66,53,0,6,92,BoundedGreedyAgent,HeuristicAgent,0
591,591,63,68,1,6,81,HeuristicAgent,BoundedGreedyAgent,1
592,592,27,49,1,4,65,BoundedGreedyAgent,HeuristicAgent,0
593,593,63,54,0,6,89,HeuristicAgent,BoundedGreedyAgent,1
594,594,59,65,1,7,103,BoundedGreedyAgent,HeuristicAgent,0
595,595,39,52,1,4,65,HeuristicAgent,BoundedGreedyAgent,1
596,596,57,31,0,4,56,BoundedGreedyAgent,HeuristicAgent,0
597,597,19,46,1,3,40,HeuristicAgent,BoundedGreedyAgent,1
598,598,71,39,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
599,599,68,71,1,6,81,HeuristicAgent,BoundedGreedyAgent,1
600,600,51,35,0,4,62,BoundedGreedyAgent,HeuristicAgent,0
601,601,30,47,1,3,35,HeuristicAgent,BoundedGreedyAgent,1
602,602,42,35,0,4,50,BoundedGreedyAgent,HeuristicAgent,0
603,603,49,67,1,5,67,HeuristicAgent,BoundedGreedyAgent,1
604,604,63,45,0,5,69,BoundedGreedyAgent,HeuristicAgent,0
605,605,25,48,1,4,46,HeuristicAgent,BoundedGreedyAgent,1
606,606,46,38,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
607,607,58,45,0,6,86,HeuristicAgent,BoundedGreedyAgent,1
608,608,56,32,0,4,44,BoundedGreedyAgent,HeuristicAgent,0
609,609,55,53,0,5,73,HeuristicAgent,BoundedGreedyAgent,1
610,610,73,62,0,6,81,BoundedGreedyAgent,HeuristicAgent,0
611,611,31,37,1,4,55,HeuristicAgent,BoundedGreedyAgent,1
612,612,49,32,0,4,48,BoundedGreedyAgent,HeuristicAgent,0
613,613,33,58,1,5,75,HeuristicAgent,BoundedGreedyAgent,1
614,614,72,40,0,5,58,BoundedGreedyAgent,HeuristicAgent,0
615,615,43,67,1,5,73,HeuristicAgent,BoundedGreedyAgent,1
616,616,69,46,0,5,59,BoundedGreedyAgent,HeuristicAgent,0
617,617,51,52,1,5,75,HeuristicAgent,BoundedGreedyAgent,1
618,618,87,57,0,7,83,BoundedGreedyAgent,HeuristicAgent,0
619,619,52,44,0,5,75,HeuristicAgent,BoundedGreedyAgent,1
620,620,67,54,0,6,73,BoundedGreedyAgent,HeuristicAgent,0
621,621,40,67,1,5,56,HeuristicAgent,BoundedGreedyAgent,1
622,622,70,54,0,7,79,BoundedGreedyAgent,HeuristicAgent,0
623,623,57,70,1,6,76,HeuristicAgent,BoundedGreedyAgent,1
624,624,72,50,0,5,66,BoundedGreedyAgent,HeuristicAgent,0
625,625,27,40,1,4,59,HeuristicAgent,BoundedGreedyAgent,1
626,626,52,36,0,4,56,BoundedGreedyAgent,HeuristicAgent,0
627,627,55,78,1,6,75,HeuristicAgent,BoundedGreedyAgent,1
628,628,59,52,0,5,72,BoundedGreedyAgent,HeuristicAgent,0
629,629,46,59,1,5,61,HeuristicAgent,BoundedGreedyAgent,1
630,630,54,41,0,5,66,BoundedGreedyAgent,HeuristicAgent,0
631,631,35,65,1,6,72,HeuristicAgent,BoundedGreedyAgent,1
632,632,50,42,0,6,71,BoundedGreedyAgent,HeuristicAgent,0
633,633,58,53,0,7,95,HeuristicAgent,BoundedGreedyAgent,1
634,634,64,45,0,5,64,BoundedGreedyAgent,HeuristicAgent,0
635,635,52,55,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
636,636,56,42,0,5,67,BoundedGreedyAgent,HeuristicAgent,0
637,637,39,51,1,6,77,HeuristicAgent,BoundedGreedyAgent,1
638,638,53,32,0,4,55,BoundedGreedyAgent,HeuristicAgent,0
639,639,52,78,1,6,91,HeuristicAgent,BoundedGreedyAgent,1
640,640,43,46,1,5,79,BoundedGreedyAgent,HeuristicAgent,0
641,641,70,63,0,7,97,HeuristicAgent,BoundedGreedyAgent,1
642,642,48,34,0,5,49,BoundedGreedyAgent,HeuristicAgent,0
643,643,44,60,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
644,644,63,61,0,6,95,BoundedGreedyAgent,HeuristicAgent,0
645,645,40,50,1,4,51,HeuristicAgent,BoundedGreedyAgent,1
646,646,54,38,0,4,56,BoundedGreedyAgent,HeuristicAgent,0
647,647,46,76,1,5,66,HeuristicAgent,BoundedGreedyAgent,1
648,648,62,56,0,6,91,BoundedGreedyAgent,HeuristicAgent,0
649,649,59,74,1,6,86,HeuristicAgent,BoundedGreedyAgent,1
650,650,70,39,0,5,69,BoundedGreedyAgent,HeuristicAgent,0
651,651,57,60,1,6,87,HeuristicAgent,BoundedGreedyAgent,1
652,652,62,51,0,5,72,BoundedGreedyAgent,HeuristicAgent,0
653,653,41,61,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
654,654,52,36,0,4,61,BoundedGreedyAgent,HeuristicAgent,0
655,655,48,81,1,6,89,HeuristicAgent,BoundedGreedyAgent,1
656,656,56,50,0,5,67,BoundedGreedyAgent,HeuristicAgent,0
657,657,44,60,1,5,59,HeuristicAgent,BoundedGreedyAgent,1
658,658,75,38,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
659,659,31,40,1,3,41,HeuristicAgent,BoundedGreedyAgent,1
660,660,60,50,0,5,66,BoundedGreedyAgent,HeuristicAgent,0
661,661,42,48,1,4,50,HeuristicAgent,BoundedGreedyAgent,1
662,662,58,42,0,5,81,BoundedGreedyAgent,HeuristicAgent,0
663,663,30,46,1,4,43,HeuristicAgent,BoundedGreedyAgent,1
664,664,65,37,0,5,60,BoundedGreedyAgent,HeuristicAgent,0
665,665,30,67,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
666,666,50,56,1,5,74,BoundedGreedyAgent,HeuristicAgent,0
667,667,52,58,1,5,62,HeuristicAgent,BoundedGreedyAgent,1
668,668,61,48,0,5,65,BoundedGreedyAgent,HeuristicAgent,0
