game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
345,345,0,75,1,5,89,RandomAgent,HeuristicAgent,1
346,346,64,11,0,4,67,HeuristicAgent,RandomAgent,0
347,347,30,35,1,4,57,RandomAgent,HeuristicAgent,1
348,348,42,24,0,4,69,HeuristicAgent,RandomAgent,0
349,349,5,82,1,6,98,RandomAgent,HeuristicAgent,1
350,350,26,27,1,5,78,HeuristicAgent,RandomAgent,0
351,351,12,47,1,4,51,RandomAgent,HeuristicAgent,1
352,352,52,16,0,5,82,HeuristicAgent,RandomAgent,0
353,353,0,39,1,4,64,RandomAgent,HeuristicAgent,1
354,354,49,0,0,3,61,HeuristicAgent,RandomAgent,0
355,355,24,46,1,5,90,RandomAgent,HeuristicAgent,1
356,356,77,4,0,5,103,HeuristicAgent,RandomAgent,0
357,357,18,72,1,5,90,RandomAgent,HeuristicAgent,1
358,358,32,14,0,4,73,HeuristicAgent,RandomAgent,0
359,359,16,50,1,5,77,RandomAgent,HeuristicAgent,1
360,360,68,31,0,6,97,HeuristicAgent,RandomAgent,0
361,361,7,67,1,4,76,RandomAgent,HeuristicAgent,1
362,362,61,23,0,4,74,HeuristicAgent,RandomAgent,0
363,363,6,66,1,5,77,RandomAgent,HeuristicAgent,1
364,364,44,21,0,5,105,HeuristicAgent,RandomAgent,0
365,365,13,84,1,6,111,RandomAgent,HeuristicAgent,1
366,366,44,29,0,4,72,HeuristicAgent,RandomAgent,0
367,367,30,54,1,5,84,RandomAgent,HeuristicAgent,1
368,368,88,22,0,6,107,HeuristicAgent,RandomAgent,0
369,369,15,37,1,4,59,RandomAgent,HeuristicAgent,1
370,370,79,4,0,5,76,HeuristicAgent,RandomAgent,0
371,371,10,41,1,4,68,RandomAgent,HeuristicAgent,1
372,372,37,18,0,3,55,HeuristicAgent,RandomAgent,0
373,373,21,70,1,5,84,RandomAgent,HeuristicAgent,1
374,374,37,18,0,3,55,HeuristicAgent,RandomAgent,0
375,375,5,78,1,5,84,RandomAgent,HeuristicAgent,1
376,376,61,8,0,5,72,HeuristicAgent,RandomAgent,0
377,377,8,88,1,6,116,RandomAgent,HeuristicAgent,1
378,378,47,8,0,4,53,HeuristicAgent,RandomAgent,0
379,379,44,44,tie,5,70,RandomAgent,HeuristicAgent,1
380,380,32,11,0,4,62,HeuristicAgent,RandomAgent,0
381,381,11,44,1,4,51,RandomAgent,HeuristicAgent,1
382,382,67,13,0,4,75,HeuristicAgent,RandomAgent,0
383,383,1,103,1,6,107,RandomAgent,HeuristicAgent,1
384,384,59,5,0,5,89,HeuristicAgent,RandomAgent,0
385,385,23,33,1,5,97,RandomAgent,HeuristicAgent,1
386,386,70,15,0,5,87,HeuristicAgent,RandomAgent,0
387,387,0,56,1,4,69,RandomAgent,HeuristicAgent,1
