game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
390,390,13,6,53,7,2,5,126,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
391,391,27,16,2,32,3,4,91,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
392,392,41,20,11,21,0,5,113,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
393,393,18,51,13,37,1,7,152,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
394,394,0,14,60,0,2,5,120,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
395,395,17,10,9,18,3,3,63,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
396,396,75,18,4,23,0,7,146,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
397,397,23,38,23,7,1,5,122,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
398,398,0,15,51,16,2,5,142,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
399,399,12,16,5,61,3,5,128,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
400,400,60,22,9,17,0,6,142,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
401,401,20,38,7,13,1,4,95,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
402,402,46,16,43,17,0,7,171,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
403,403,0,16,9,49,3,5,125,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
404,404,59,26,18,12,0,6,136,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
405,405,27,39,11,8,1,6,149,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
406,406,0,0,60,12,2,5,133,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
407,407,10,7,26,56,3,6,138,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
408,408,42,14,20,14,0,6,146,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
409,409,1,62,22,0,1,5,141,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
410,410,25,13,41,5,2,6,125,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
411,411,7,0,1,45,3,4,97,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
412,412,43,7,2,7,0,5,102,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
413,413,0,40,26,10,1,5,121,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
414,414,4,10,42,12,2,4,97,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
415,415,29,16,11,36,3,4,95,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
416,416,46,18,12,28,0,6,121,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
417,417,15,50,0,17,1,5,124,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
418,418,10,16,58,18,2,5,127,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
419,419,7,32,7,48,3,6,140,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
420,420,47,27,3,2,0,5,127,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
421,421,27,49,7,11,1,5,128,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
422,422,27,4,25,10,0,4,96,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
423,423,12,25,22,37,3,7,159,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
424,424,37,3,19,12,0,4,115,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
425,425,0,51,22,18,1,5,119,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
426,426,17,20,44,9,2,5,121,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
427,427,15,10,9,45,3,4,92,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
428,428,54,12,12,34,0,6,121,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
429,429,8,34,9,16,1,4,102,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
430,430,7,3,63,24,2,5,127,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
431,431,5,0,27,71,3,6,140,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
432,432,34,18,8,4,0,3,74,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
433,433,16,40,14,11,1,5,137,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
434,434,18,15,40,5,2,5,115,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
435,435,14,26,8,64,3,7,164,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
436,436,42,17,16,11,0,5,112,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
437,437,25,65,0,10,1,6,154,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
438,438,9,24,41,0,2,4,113,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
439,439,1,24,16,60,3,5,130,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
440,440,44,4,10,25,0,5,100,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
441,441,6,46,21,5,1,5,109,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
442,442,24,1,34,25,2,6,143,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
443,443,19,10,0,53,3,6,133,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
444,444,47,9,28,4,0,4,103,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
445,445,10,54,27,0,1,5,124,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
446,446,5,15,37,17,2,5,121,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
447,447,17,14,6,31,3,3,73,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
448,448,50,13,8,20,0,5,128,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
449,449,27,38,19,0,1,5,130,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
450,450,27,7,45,7,2,6,151,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
451,451,14,30,13,35,3,6,142,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
452,452,70,3,22,23,0,6,141,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
453,453,9,68,0,10,1,5,127,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
454,454,7,10,47,6,2,5,117,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
455,455,2,9,18,47,3,5,120,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
456,456,63,14,1,24,0,5,110,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
457,457,13,56,5,11,1,5,131,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
458,458,19,22,52,3,2,6,148,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
459,459,21,0,14,60,3,5,133,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
460,460,64,4,28,7,0,7,161,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
